2025-08-23 13:00:27,638:INFO:Device: cuda
2025-08-23 13:02:42,629:INFO:Epoch 1500: Train Loss: 0.0046, Val Loss: 0.0064, Dyn Loss: 0.0046, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:02:53,498:INFO:Epoch 1550: Train Loss: 0.0044, Val Loss: 0.0060, Dyn Loss: 0.0044, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:02:57,325:INFO:Epoch 1600: Train Loss: 0.0042, Val Loss: 0.0059, Dyn Loss: 0.0042, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:03:01,230:INFO:Epoch 1650: Train Loss: 0.0041, Val Loss: 0.0059, Dyn Loss: 0.0041, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:03:04,930:INFO:Epoch 1700: Train Loss: 0.0039, Val Loss: 0.0057, Dyn Loss: 0.0039, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:03:08,734:INFO:Epoch 1750: Train Loss: 0.0038, Val Loss: 0.0057, Dyn Loss: 0.0038, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:03:12,547:INFO:Epoch 1800: Train Loss: 0.0036, Val Loss: 0.0056, Dyn Loss: 0.0036, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:03:16,307:INFO:Epoch 1850: Train Loss: 0.0034, Val Loss: 0.0055, Dyn Loss: 0.0034, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:03:20,088:INFO:Epoch 1900: Train Loss: 0.0034, Val Loss: 0.0054, Dyn Loss: 0.0034, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:03:23,958:INFO:Epoch 1950: Train Loss: 0.0032, Val Loss: 0.0053, Dyn Loss: 0.0032, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
2025-08-23 13:03:27,660:INFO:Epoch 2000: Train Loss: 0.0031, Val Loss: 0.0050, Dyn Loss: 0.0031, Reg Loss: 0.0000, Proj Perc: 0.00%, Q Grad Norm: 0.0000
